id,timestamp,bot_name,owner_id,bot_version_id,rating_mu,rating_sigma
25-chav,2025-05-18 20:48:04.761569,chav,25.0,904,48.84806545111978,1.4829076570694464
33-the_great_filter,2025-05-18 20:43:04.761072,the_great_filter,33.0,903,42.71860708807705,1.1659188627364816
34-heures37,2025-05-18 19:51:04.761657,heures37,34.0,884,41.33725160497156,1.1002503610533547
34-heures38,2025-05-18 20:42:04.761692,heures38,34.0,885,40.66237649291951,1.080916372408198
31-shelly,2025-05-18 20:29:04.773289,shelly,31.0,874,39.445264763156906,1.0007759561916627
19-silviator,2025-05-18 20:46:04.761228,silviator,19.0,916,39.018022674126485,1.0641668239420607
35-byte-sized_foxie,2025-05-18 20:41:04.761454,byte-sized_foxie,35.0,890,38.427990113731234,0.995287173568238
34-heures36,2025-05-18 19:26:04.761665,heures36,34.0,883,36.94030362424839,0.9963706005421374
13-iwijnbot4,2025-05-18 20:30:04.761436,iwijnbot4,13.0,881,34.477888713182416,0.912705960117359
13-iwijnbot3,2025-05-18 20:13:43.839053,iwijnbot3,13.0,682,31.90395135852402,0.8510620107949032
13-iwijnbot5,2025-05-18 20:48:04.761569,iwijnbot5,13.0,880,31.667037916788015,0.8741448477043257
13-iwijnbot2,2025-05-18 19:34:04.761686,iwijnbot2,13.0,549,29.908799802541942,0.8342022917876004
25-blackbeard,2025-05-18 20:44:04.761702,blackbeard,25.0,905,29.24018643129202,0.8495390631898487
21-gesuckt,2025-05-18 20:32:04.762012,gesuckt,21.0,548,29.148437450087528,0.8219207974332626
24-rossbot,2025-05-18 20:37:04.760989,rossbot,24.0,907,29.139527015616657,0.8240205383944051
None-simplebot,2025-05-18 20:34:04.761083,simplebot,,56,27.934714314909858,0.8299651677145328
24-rossbot2_0,2025-05-18 19:49:04.762372,rossbot2_0,24.0,906,27.440521126628635,0.8301423742576779
22-eddymul,2025-05-18 20:27:04.761862,eddymul,22.0,485,27.38554483742316,0.7941780547187155
36-bot,2025-05-18 20:33:04.761422,bot,36.0,921,27.259869344948093,0.8199312693919776
20-ieben2,2025-05-18 20:33:04.761422,ieben2,20.0,411,26.740061589966334,0.8299802665233373
12-randomboi,2025-05-18 20:39:04.761461,randomboi,12.0,663,26.302051581529636,0.821430307909835
21-mr_takeover,2025-05-18 20:45:04.761102,mr_takeover,21.0,114,26.183728426716115,0.7823569722128041
27-mathieu,2025-05-18 20:25:04.761492,mathieu,27.0,918,26.12980477367179,0.8236170974907268
29-aqua,2025-05-18 20:36:04.761973,aqua,29.0,624,26.085563572645395,0.7715289351626745
27-mathieu2,2025-05-18 20:19:04.761439,mathieu2,27.0,908,25.488105307747954,0.8529568701861012
18-tyboro,2025-05-18 20:31:04.762431,tyboro,18.0,872,24.938610699758737,0.7947224091714005
12-runes_attacker,2025-05-18 20:38:04.761558,runes_attacker,12.0,634,24.551366193899682,0.81480010504483
12-runes_little_bitch,2025-05-18 20:34:04.761083,runes_little_bitch,12.0,611,24.34826280860532,0.7980370997060404
11-m_bot1,2025-05-18 20:43:04.761072,m_bot1,11.0,217,24.06319500841584,0.7846931624588922
28-targetbot,2025-05-18 20:23:04.761298,targetbot,28.0,717,23.305979948015022,0.7781935020967983
18-run_forest_run,2025-05-18 20:05:04.761732,run_forest_run,18.0,864,23.183782161916646,0.7814622943444901
13-iwijnbot,2025-05-18 20:45:04.761102,iwijnbot,13.0,188,22.983229918922632,0.7866643349877315
34-heures38-pacifist,2025-05-18 20:42:04.761692,heures38-pacifist,34.0,927,22.934819910609686,0.7644660265774131
34-pacifist38,2025-05-18 19:41:04.761215,pacifist38,34.0,887,22.927346324891726,0.7623547692309269
14-peter,2025-05-18 20:44:04.761702,peter,14.0,337,22.121138008806145,0.838440154115804
17-supermegabot,2025-05-18 20:28:04.761225,supermegabot,17.0,917,21.817919258310788,0.8304027938805851
17-roach,2025-05-18 20:24:04.761231,roach,17.0,910,21.72514458103243,0.832913001414646
18-brol,2025-05-18 20:46:04.761228,brol,18.0,811,20.8016167092628,0.7943859936048656
12-explore_first,2025-05-18 20:47:04.761597,explore_first,12.0,199,20.80127757355231,0.7952745288620149
22-theconqueror,2025-05-18 20:47:04.761597,theconqueror,22.0,435,20.7022905971496,0.8020021511296033
20-ieben1,2025-05-18 20:40:04.761585,ieben1,20.0,177,20.462825333665627,0.8028148848161465
13-iwijnbothehe,2025-05-18 20:41:04.761454,iwijnbothehe,13.0,594,20.400167549080024,0.8396181069557884
28-spreadbot,2025-05-18 20:40:04.761585,spreadbot,28.0,439,20.340593115205888,0.7970061431149807
13-mysimplebot,2025-05-18 20:13:57.482457,mysimplebot,13.0,99,20.309345030580324,0.791160198710382
15-jens_fiorel,2025-05-18 20:29:04.773289,jens_fiorel,15.0,232,19.749103672767276,0.8298803047928874
20-myfirstbot,2025-05-18 19:16:04.761108,myfirstbot,20.0,106,19.272587034605515,0.8476539723760192
28-bestbot,2025-05-18 20:24:04.761231,bestbot,28.0,703,19.11779786551892,0.8482917509744051
